,url ,start,stop
1,https://www.youtube.com/watch?v=gx0rRnmwIsg,00:01,00:33
,,03:16,03:42
,,05:29,05:51
,,13:17,13:37
2,https://www.youtube.com/watch?v=D6ZcsB1J10k,00:19,01:12
3,https://www.youtube.com/watch?v=m_5EkUZQVdQ,00:01,00:28
,,01:16,01:32
,,03:01,03:22
4,https://www.youtube.com/watch?v=wHpnjaM6pIU,00:01,00:28
,,01:17,01:37
,,03:08,03:21
,,04:45,05:04
,,08:40,08:55
5,https://www.youtube.com/watch?v=gJKxrjv3XgE,00:01,00:28
,,01:08,01:22
,,02:40,02:59
,,04:37,04:56
,,08:13,08:32
6,https://www.youtube.com/watch?v=jzaMG8FAljI,00:01,00:53
,,55.36,55.55
7,https://www.youtube.com/watch?v=unbXcnXfSYk,02:22,03:22
,,05:56,06:21
8,https://www.youtube.com/watch?v=ti4BACzM4jU,00:01,00:53
,,01:37,02:02
,,10:21,11:03
9,https://www.youtube.com/watch?v=eCnaaI8FKH4,00:16,00:26
,,00:30,00:59
,,03:16,03:30
,,03:40,03:56
,,18:48,18:59
10,https://www.youtube.com/watch?v=x_CO7HDe7f4,02:23,02:35
,,17:55,18:24
,,21:12,21:36
,,23:56,24.13
11,https://www.youtube.com/watch?v=tbQD63AR2QE,00:30,01:08
,,20:37,21:10
12,https://www.youtube.com/watch?v=C35NDVRTvOU,00:13,00:20
,,00:37,00:48
,,01:25,01:37
,,02:35,02:52
,,03:37,03:50
,,04:49,05:05
13,https://www.youtube.com/watch?v=sQJuXZ21lPc,00:01,00:28
,,00:33,00:50
,,01:21,01:41
14,https://www.youtube.com/watch?v=8-80h4cSb4Q,00:01,00:18
,,04:15,04:36
15,https://www.youtube.com/watch?v=ngLQjI23GCM,03:10,03:23
,,04:18,04:29
,,05:30,05:39
,,06:27,06:47
,,08:09,08:22
16,https://www.youtube.com/watch?v=pcCeK7xGbFM,00:06,00:27
,,00:48,01:26
,,03:48,04:17
,,06:47,07:05
17,https://www.youtube.com/watch?v=uYIDmlZZQJY,00:07,00:21
,,00:49,01:38
,,01:42,01:55
,,02:18,02:39
18,https://www.youtube.com/watch?v=MxgbF9r1IjI,00:01,00:49
,,00:51,02:11
,,02:17,02:58
19,https://www.youtube.com/watch?v=wKiXlMH1vD4,00:01,00:40
,,00:44,03:04
,,03:05,06:44
,,00:27,04:20
20,https://www.youtube.com/watch?v=Ns3Wd7tmL4I,00:27,04:20
21,https://www.youtube.com/watch?v=qeMpkzscBXQ,00:01,00:49
,,01:06,01:54
,,02:02,02:33
,,02:37,02:54
,,03:17,05:58
,,06:03,10:26
